date,region,district,population,ME-Fea,ME-Ang,ME-Sad,GH-Death
2023-01-01,Delhi,Central Delhi,1800,0.56,0.37,0.69,15.7
2023-01-01,Delhi,East Delhi,1700,0.5,0.38,0.64,16.8
2023-01-01,Delhi,North Delhi,3600,0.56,0.34,0.69,16.7
2023-01-01,Delhi,South Delhi,2700,0.57,0.33,0.69,16.6
2023-01-01,Gujarat,Ahmedabad,5600,0.38,0.24,0.49,10.8
2023-01-01,Gujarat,Rajkot,1300,0.37,0.27,0.55,10.1
2023-01-01,Gujarat,Surat,4500,0.39,0.24,0.53,10.5
2023-01-01,Gujarat,Vadodara,1700,0.39,0.26,0.53,10.4
2023-01-01,Karnataka,Bangalore,8400,0.42,0.29,0.57,13.2
2023-01-01,Karnataka,Hubli,950,0.45,0.29,0.59,12.8
2023-01-01,Karnataka,Mangalore,500,0.44,0.31,0.55,12.4
2023-01-01,Karnataka,Mysore,900,0.41,0.27,0.56,12.4
2023-01-01,Maharashtra,Mumbai,12500,0.5,0.3,0.61,14.9
2023-01-01,Maharashtra,Nagpur,2400,0.48,0.35,0.63,14.1
2023-01-01,Maharashtra,Pune,3100,0.48,0.31,0.68,15.2
2023-01-01,Maharashtra,Thane,1850,0.51,0.32,0.66,13.2
2023-01-01,Rajasthan,Jaipur,3100,0.45,0.3,0.55,11.8
2023-01-01,Rajasthan,Jodhpur,1000,0.41,0.32,0.56,11.6
2023-01-01,Rajasthan,Kota,1000,0.39,0.34,0.62,11.5
2023-01-01,Rajasthan,Udaipur,450,0.41,0.3,0.53,11.2
2023-01-01,Tamil Nadu,Chennai,7100,0.42,0.27,0.53,11.0
2023-01-01,Tamil Nadu,Coimbatore,1600,0.4,0.28,0.54,11.0
2023-01-01,Tamil Nadu,Madurai,1500,0.41,0.27,0.51,11.4
2023-01-01,Tamil Nadu,Salem,900,0.39,0.27,0.53,11.8
2023-01-01,Uttar Pradesh,Agra,1600,0.45,0.38,0.61,14.7
2023-01-01,Uttar Pradesh,Kanpur,2700,0.43,0.34,0.6,14.2
2023-01-01,Uttar Pradesh,Lucknow,2800,0.51,0.38,0.65,13.9
2023-01-01,Uttar Pradesh,Varanasi,1200,0.5,0.33,0.62,13.2
2023-01-01,West Bengal,Asansol,550,0.46,0.29,0.58,13.8
2023-01-01,West Bengal,Durgapur,600,0.48,0.29,0.55,13.0
2023-01-01,West Bengal,Howrah,1100,0.46,0.3,0.61,14.3
2023-01-01,West Bengal,Kolkata,4500,0.41,0.33,0.59,12.8
2023-01-02,Delhi,Central Delhi,1800,0.54,0.34,0.66,16.1
2023-01-02,Delhi,East Delhi,1700,0.48,0.35,0.68,16.2
2023-01-02,Delhi,North Delhi,3600,0.53,0.36,0.73,16.7
2023-01-02,Delhi,South Delhi,2700,0.54,0.4,0.66,16.6
2023-01-02,Gujarat,Ahmedabad,5600,0.38,0.27,0.48,10.6
2023-01-02,Gujarat,Rajkot,1300,0.38,0.29,0.51,11.0
2023-01-02,Gujarat,Surat,4500,0.39,0.26,0.49,10.5
2023-01-02,Gujarat,Vadodara,1700,0.39,0.25,0.52,11.1
2023-01-02,Karnataka,Bangalore,8400,0.41,0.28,0.57,11.3
2023-01-02,Karnataka,Hubli,950,0.43,0.29,0.55,12.4
2023-01-02,Karnataka,Mangalore,500,0.43,0.27,0.53,12.2
2023-01-02,Karnataka,Mysore,900,0.44,0.27,0.56,11.6
2023-01-02,Maharashtra,Mumbai,12500,0.51,0.3,0.64,14.8
2023-01-02,Maharashtra,Nagpur,2400,0.45,0.33,0.65,15.8
2023-01-02,Maharashtra,Pune,3100,0.52,0.3,0.64,15.2
2023-01-02,Maharashtra,Thane,1850,0.49,0.27,0.63,13.5
2023-01-02,Rajasthan,Jaipur,3100,0.42,0.33,0.56,12.2
2023-01-02,Rajasthan,Jodhpur,1000,0.47,0.28,0.56,11.5
2023-01-02,Rajasthan,Kota,1000,0.43,0.33,0.55,12.1
2023-01-02,Rajasthan,Udaipur,450,0.42,0.31,0.58,11.5
2023-01-02,Tamil Nadu,Chennai,7100,0.41,0.28,0.55,10.1
2023-01-02,Tamil Nadu,Coimbatore,1600,0.39,0.29,0.52,10.6
2023-01-02,Tamil Nadu,Madurai,1500,0.42,0.25,0.55,11.3
2023-01-02,Tamil Nadu,Salem,900,0.42,0.28,0.54,10.9
2023-01-02,Uttar Pradesh,Agra,1600,0.46,0.36,0.6,13.9
2023-01-02,Uttar Pradesh,Kanpur,2700,0.46,0.35,0.62,15.0
2023-01-02,Uttar Pradesh,Lucknow,2800,0.52,0.32,0.61,13.2
2023-01-02,Uttar Pradesh,Varanasi,1200,0.51,0.36,0.6,13.9
2023-01-02,West Bengal,Asansol,550,0.44,0.35,0.61,12.6
2023-01-02,West Bengal,Durgapur,600,0.45,0.32,0.61,13.3
2023-01-02,West Bengal,Howrah,1100,0.42,0.32,0.56,14.2
2023-01-02,West Bengal,Kolkata,4500,0.43,0.3,0.57,14.3
2023-01-03,Delhi,Central Delhi,1800,0.52,0.35,0.7,15.8
2023-01-03,Delhi,East Delhi,1700,0.53,0.36,0.73,16.4
2023-01-03,Delhi,North Delhi,3600,0.54,0.38,0.69,15.0
2023-01-03,Delhi,South Delhi,2700,0.55,0.36,0.69,16.4
2023-01-03,Gujarat,Ahmedabad,5600,0.39,0.25,0.53,9.9
2023-01-03,Gujarat,Rajkot,1300,0.39,0.25,0.48,11.0
2023-01-03,Gujarat,Surat,4500,0.38,0.29,0.5,11.0
2023-01-03,Gujarat,Vadodara,1700,0.38,0.25,0.51,10.3
2023-01-03,Karnataka,Bangalore,8400,0.41,0.28,0.55,12.1
2023-01-03,Karnataka,Hubli,950,0.43,0.28,0.57,11.6
2023-01-03,Karnataka,Mangalore,500,0.44,0.29,0.55,12.5
2023-01-03,Karnataka,Mysore,900,0.43,0.28,0.56,11.9
2023-01-03,Maharashtra,Mumbai,12500,0.51,0.33,0.65,15.0
2023-01-03,Maharashtra,Nagpur,2400,0.46,0.29,0.67,14.0
2023-01-03,Maharashtra,Pune,3100,0.48,0.31,0.65,15.3
2023-01-03,Maharashtra,Thane,1850,0.49,0.32,0.67,15.8
2023-01-03,Rajasthan,Jaipur,3100,0.42,0.32,0.53,11.9
2023-01-03,Rajasthan,Jodhpur,1000,0.45,0.32,0.55,11.2
2023-01-03,Rajasthan,Kota,1000,0.44,0.33,0.53,10.9
2023-01-03,Rajasthan,Udaipur,450,0.41,0.31,0.54,12.5
2023-01-03,Tamil Nadu,Chennai,7100,0.44,0.28,0.51,11.8
2023-01-03,Tamil Nadu,Coimbatore,1600,0.39,0.29,0.53,11.4
2023-01-03,Tamil Nadu,Madurai,1500,0.43,0.28,0.53,10.9
2023-01-03,Tamil Nadu,Salem,900,0.43,0.3,0.54,10.1
2023-01-03,Uttar Pradesh,Agra,1600,0.48,0.33,0.6,14.2
2023-01-03,Uttar Pradesh,Kanpur,2700,0.48,0.36,0.64,13.7
2023-01-03,Uttar Pradesh,Lucknow,2800,0.46,0.33,0.61,14.5
2023-01-03,Uttar Pradesh,Varanasi,1200,0.43,0.33,0.62,14.7
2023-01-03,West Bengal,Asansol,550,0.45,0.32,0.61,12.5
2023-01-03,West Bengal,Durgapur,600,0.44,0.31,0.59,12.3
2023-01-03,West Bengal,Howrah,1100,0.48,0.31,0.61,13.2
2023-01-03,West Bengal,Kolkata,4500,0.44,0.31,0.63,13.1
2023-01-04,Delhi,Central Delhi,1800,0.57,0.39,0.71,16.0
2023-01-04,Delhi,East Delhi,1700,0.55,0.35,0.69,15.5
2023-01-04,Delhi,North Delhi,3600,0.53,0.38,0.71,16.8
2023-01-04,Delhi,South Delhi,2700,0.46,0.38,0.68,15.7
2023-01-04,Gujarat,Ahmedabad,5600,0.39,0.25,0.5,10.2
2023-01-04,Gujarat,Rajkot,1300,0.37,0.25,0.52,11.2
2023-01-04,Gujarat,Surat,4500,0.41,0.24,0.49,10.1
2023-01-04,Gujarat,Vadodara,1700,0.41,0.23,0.49,10.5
2023-01-04,Karnataka,Bangalore,8400,0.41,0.32,0.52,11.6
2023-01-04,Karnataka,Hubli,950,0.43,0.28,0.57,13.0
2023-01-04,Karnataka,Mangalore,500,0.43,0.29,0.57,12.6
2023-01-04,Karnataka,Mysore,900,0.41,0.34,0.58,12.9
2023-01-04,Maharashtra,Mumbai,12500,0.49,0.32,0.66,14.4
2023-01-04,Maharashtra,Nagpur,2400,0.52,0.31,0.67,15.8
2023-01-04,Maharashtra,Pune,3100,0.52,0.32,0.6,15.1
2023-01-04,Maharashtra,Thane,1850,0.52,0.34,0.61,15.7
2023-01-04,Rajasthan,Jaipur,3100,0.44,0.31,0.53,11.4
2023-01-04,Rajasthan,Jodhpur,1000,0.43,0.33,0.55,11.6
2023-01-04,Rajasthan,Kota,1000,0.46,0.33,0.57,11.6
2023-01-04,Rajasthan,Udaipur,450,0.4,0.33,0.58,11.7
2023-01-04,Tamil Nadu,Chennai,7100,0.4,0.25,0.53,10.9
2023-01-04,Tamil Nadu,Coimbatore,1600,0.38,0.28,0.56,10.7
2023-01-04,Tamil Nadu,Madurai,1500,0.38,0.26,0.52,11.6
2023-01-04,Tamil Nadu,Salem,900,0.43,0.24,0.54,11.7
2023-01-04,Uttar Pradesh,Agra,1600,0.5,0.34,0.61,14.4
2023-01-04,Uttar Pradesh,Kanpur,2700,0.45,0.32,0.63,14.1
2023-01-04,Uttar Pradesh,Lucknow,2800,0.48,0.35,0.59,15.3
2023-01-04,Uttar Pradesh,Varanasi,1200,0.47,0.35,0.64,14.6
2023-01-04,West Bengal,Asansol,550,0.44,0.32,0.58,12.8
